username,userid,created,text,retweets,followers,friends,polarity,subjectivity
ds,polarity,subjectivity
MARINA,30686649,Earth,2019-07-22 17:14:36,Last festival of the summer done before #TheLoveAndFearTour! I have so enjoyed performing for you all. I'm so happy... https://t.co/HINf7H1x1f,484,5238,2770125,0,0.43333333333333335,0.5888888888888889
Sebastian Yatra,1029323618,,2019-07-22 15:30:42,Gracias Jonas Brothers por ensenarme a bailar el #RunawayChallenge !!  / Thank you Jonas Brothers for teach... https://t.co/NhNpr2K3JU,344,2439,437503,199,0.0,0.0
UNICEF,33933259,,2019-07-22 13:10:09,"""Legend!""

Our Goodwill Ambassador Orlando Bloom learns some new dance moves from children who've been displaced by... https://t.co/c5IKriVcOH",205,981,7605489,24370,0.13636363636363635,0.45454545454545453
Greg Olear,20764031,"New York, USA",2019-07-22 10:06:36,"8/ Russia WAS listening, and still is. These days, Trump communicates with Putin directly, in person. They sneak of... https://t.co/ORLnHAVqVE",510,1301,75500,11646,0.1,0.4
allkpop,21366823,Worldwide,2019-07-23 00:14:01,"Watch IZ*ONE's upbeat dance CF for 'G Market'!
https://t.co/0Fb2BPQI4M https://t.co/G6BwpKwWpZ",107,623,5313997,567,0.0,0.0
WWE,7517222,"Stamford, CT",2019-07-23 04:01:35,"EXCLUSIVE: Now THIS was a ""Dance Break"" worthy of the #RAWReunion! #RAW
#SpeakWWE https://t.co/wW0C1KrEY9",163,800,10569224,418,0.09294871794871792,0.7307692307692308
Kaushik LM,221647151,India,2019-07-22 06:57:39,"#KaappaanAudio #HeyAmigo - It sounds like an inspired version of popular Spanish, Latin American party tracks &amp; als... https://t.co/46KJPInjoA",319,1015,256524,390,0.19999999999999998,0.3
Jaime Primak,573008688,All over,2019-07-16 10:51:49,"This man just asked me to ""please stop speaking Spanish"" on this plane to NYC (in his defense it's very early and h... https://t.co/H7ds5ctBri",10876,81884,29104,4104,0.065,0.195
Mzilikazi wa Afrika,249608059,"Bushbuckridge, Mpumalanga",2019-07-22 06:18:40,CINA: Another Day and Another Dance  https://t.co/gveI60jHqr,50,234,300810,151610,0.0,0.0
Lay Zhang,1004014036927709185,,2019-07-19 17:35:20,My bro @jasonderulo has a cool song #Mamacita ! I hope you like the dance and song^^ Check out the MV! https://t.co/nFkw7bQ37F,37580,92751,1670023,12,0.546875,0.65
Sabrina Carpenter,63822383,,2019-07-21 18:39:04,this dance syncs up perfectly to every track from singular act 2 go ahead try it https://t.co/6ij8YnToxb,3103,22517,1381432,5636,1.0,1.0
Glamour,19247844,,2019-07-17 15:31:32,"The guys of @GOT7Official take a friendship test! Watch them imitate one another's dance moves, share friendship se... https://t.co/HPed4ai2FZ",6157,8240,1359202,1165,0.0,0.0
SuperStar BTS,878100143534243841,,2019-07-18 03:25:46,"#SuperStarBTS 'Trivia Qi  : Just Dance' updated!

Don't Miss Out! LOVE YOURSELF Jie  'Answer' All Themes Resale Chance! https://t.co/iAwp5HadLk",7532,55793,1678230,9,0.625,0.6
TWICE JAPAN OFFICIAL,806020707700215808,,2019-07-16 15:04:24,"TWICE JAPAN 4th SINGLE {HAPPY HAPPY} 
2019.07.17 Release

[HAPPY HAPPY] Dance Making Video In Hawaii... https://t.co/I5JKPAug0R",9651,41043,1326928,4,0.6257142857142858,0.8428571428571429
Nina Turner,188793260,"Cleveland, OH",2019-07-21 17:05:24,Who is this person @davidsirota? WTH @MSNBC? Do you only invite guest that have a disdain for @BernieSanders? Makes... https://t.co/kvpnFIf10H,1051,4261,190089,5688,0.0,1.0
Chris GQ Perry,274127782,New York,2019-07-21 23:55:08,Sometimes you have to take your girl to the nearest rooftop and take her by the hand for a slow dance [?] https://t.co/zcrt12JfHd,90,426,250571,271,-0.30000000000000004,0.39999999999999997
Sam Smith,457554412,"London, England",2019-07-19 07:34:19,HOW DO YOU SLEEP? My heart is beating so fast. I'm so proud of this one. Thank you to all the beautiful humans who'... https://t.co/JJ2WQF136h,1739,10320,7992010,1304,0.6166666666666667,0.8666666666666667
Soompi,17659206,Worldwide,2019-07-17 16:48:58,"WATCH: #EXO's Suho And Kai Give #StrangerThings Stars A Crash Course In ""Love Shot"" Choreography... https://t.co/VeYs6ePdR4",5522,13482,2390433,3716,0.5,0.6
Nina Turner,188793260,"Cleveland, OH",2019-07-21 17:03:53,@davidsirota Who is this person? WTH @MSNBC? Do you only invite guest that have a disdain for @BernieSanders? Makes... https://t.co/WnqeIPm7eV,1301,6067,190089,5688,0.0,1.0
Peter Daou,18464266,,2019-07-22 01:59:12,"DITHERING #NADLER

This impeachment dance by @RepJerryNadler has become farcical. Every couple of days, someone clo... https://t.co/DgIaVSrgl1",60,237,258586,990,-0.4,0.4
Jason O. Gilbert,21518612,"Brooklyn, NY",2019-07-15 15:09:11,"A RACIST: I am racist

NY TIMES: A-ha! And now the racial stage is set, and this roguish imp shall dance his dance https://t.co/pDGGvWjlI6",1582,9313,54519,659,0.0,0.0
Crystal Bell,21212532,"New York, NY",2019-07-22 06:08:02,"- Sana, Dahyun, and Tzuyu's ""Dance For You"" stage was . Was that allowed??
- Momo and Jihyo's cover of Taemin's ""G... https://t.co/V5gRsKfig4",38,117,12639,989,0.0,0.0
